	0.02	-0.00	areal	0	0	-4
16:29:15.616 -> euler	6.67	-14.38	18.71	areal	1480	2876	804
16:29:15.655 -> euler	6.67	-14.49	19.01	areal	1497	2932	813
16:29:15.655 -> euler	6.70	-14.59	19.31	areal	1514	2987	820
16:29:15.655 -> euler	6.77	-14.69	19.64	areal	1530	3044	829
16:29:15.655 -> euler	6.88	-14.79	19.97	areal	1538	3097	835
16:29:15.697 -> euler	7.04	-14.89	20.32	areal	1534	3145	845
16:29:15.697 -> euler	7.22	-14.99	20.69	areal	1522	3190	860
16:29:15.697 -> euler	7.45	-15.08	21.06	areal	1508	3240	875
16:29:15.697 -> euler	7.70	-15.18	21.44	areal	1490	3289	895
16:29:15.737 -> euler	7.99	-15.27	21.84	areal	1470	3340	921
16:29:15.737 -> euler	8.32	-15.35	22.23	areal	1444	3393	949
16:29:15.737 -> euler	8.66	-15.44	22.63	areal	1417	3448	982
16:29:15.737 -> euler	9.03	-15.51	23.04	areal	1388	3504	1016
16:29:15.777 -> euler	9.42	-15.58	23.44	areal	1354	3554	1053
16:29:15.777 -> euler	9.84	-15.65	23.85	areal	1321	3600	1089
16:29:15.777 -> euler	10.30	-15.71	24.26	areal	1287	3641	1126
16:29:15.777 -> euler	10.77	-15.76	24.68	areal	1259	3684	1168
16:29:15.819 -> euler	11.22	-15.81	25.08	areal	1235	3722	1208
16:29:15.819 -> euler	11.69	-15.85	25.47	areal	1216	3765	1245
16:29:15.819 -> euler	12.14	-15.89	25.86	areal	1197	3812	1280
16:29:15.819 -> euler	12.60	-15.93	26.25	areal	1173	3865	1312
16:29:15.854 -> euler	13.07	-15.96	26.62	areal	1143	3921	1343
16:29:15.854 -> euler	13.56	-15.99	26.99	areal	1102	3978	1369
16:29:15.854 -> euler	14.08	-16.02	27.35	areal	1052	4033	1395
16:29:15.854 -> euler	14.59	-16.06	27.70	areal	1000	4088	1422
16:29:15.897 -> euler	15.13	-16.08	28.05	areal	937	4141	1446
16:29:15.897 -> euler	15.66	-16.10	28.38	areal	868	4197	1468
16:29:15.897 -> euler	16.20	-16.11	28.70	areal	797	4254	1488
16:29:15.897 -> euler	16.74	-16.12	29.02	areal	724	4308	1508
16:29:15.937 -> euler	17.26	-16.11	29.33	areal	658	4363	1523
16:29:15.937 -> euler	17.75	-16.10	29.64	areal	598	4414	1535
16:29:15.937 -> euler	18.21	-16.08	29.94	areal	538	4458	1543
16:29:15.937 -> euler	18.64	-16.05	30.22	areal	481	4498	1546
16:29:15.975 -> euler	19.07	-16.02	30.50	areal	425	4535	1551
